scenario_id,seed,kapcoin-usd_train_regimes,kapcoin-usd_train_num_phases,kapcoin-usd_train_first_drift,kapcoin-usd_train_last_drift,kapcoin-usd_train_avg_vol,metucoin-usd_train_regimes,metucoin-usd_train_num_phases,metucoin-usd_train_first_drift,metucoin-usd_train_last_drift,metucoin-usd_train_avg_vol,tamcoin-usd_train_regimes,tamcoin-usd_train_num_phases,tamcoin-usd_train_first_drift,tamcoin-usd_train_last_drift,tamcoin-usd_train_avg_vol
1,7961,recovery|sideways|steady_bull|explosive_bull,4,0.005019581594232518,0.00629306799803548,0.02978866043694335,accumulation|steady_bull,2,0.0009818783067773156,0.003484730300635719,0.018646974150878175,accumulation|explosive_bull|volatile_chop,3,0.00022613100846312123,-0.0004961546504668331,0.034769290986297004
2,15880,accumulation|explosive_bull|sideways|volatile_chop,4,0.00027268890877502576,0.000257074522487985,0.0344889036055714,steady_bear|recovery|steady_bull,3,-0.0019998580016367703,0.0036683837603542595,0.023137235319416565,accumulation|explosive_bull|capitulation,3,0.0003093412093683453,-0.010297107772398194,0.04139590742602108
3,23799,volatile_chop|steady_bull|volatile_chop,3,-0.00022357501378593658,-0.0001558123235582568,0.04176325338018024,sideways|accumulation|sideways|explosive_bull,4,0.00025817498555402306,0.00925022444561433,0.025670627244132244,capitulation|sideways,2,-0.008165108431862881,2.365721176135038e-05,0.04132969965242374
4,31718,accumulation|explosive_bull|capitulation|recovery,4,0.0003743150233606139,0.005821939778049791,0.037595989983710734,capitulation|volatile_chop,2,-0.008698639941942662,0.00039414728367941673,0.052015975490247536,recovery|volatile_chop|steady_bear,3,0.00283958314528384,-0.002440636464469725,0.04231317517320448
5,39637,steady_bear|accumulation,2,-0.003407426201397261,0.0006387224707670858,0.019814054520784843,capitulation|death_spiral|recovery|volatile_chop,4,-0.005517245570996898,-4.54429904854438e-07,0.057260277818397015,steady_bull|explosive_bull,2,0.0035094416364471596,0.006446696198140809,0.026758837589556266
6,47556,capitulation|recovery|steady_bull,3,-0.007205690934459391,0.0016744991810026808,0.03965290953754258,sideways|steady_bear|accumulation|steady_bull,4,9.117894371639705e-05,0.002066759908005523,0.01745876242712574,sideways|steady_bull|sideways,3,-5.1709869121619335e-05,-0.0001709522284738987,0.020661946092420422
7,55475,volatile_chop|steady_bear|sideways|explosive_bull,4,0.00030224307196131527,0.0094956580836883,0.0354930534406059,recovery|sideways|volatile_chop,3,0.00341187213286415,-0.00011761236469288219,0.040546680048128704,sideways|steady_bear|capitulation|death_spiral,4,0.00026972916622266087,-0.01633910070091242,0.038075517065635646
8,63394,volatile_chop|sideways|accumulation,3,-0.00029401379781201695,0.00043051035678381804,0.030876465518689913,steady_bear|accumulation|sideways,3,-0.002520051906628321,-0.00018082910154814622,0.02015518283400714,recovery|sideways,2,0.004380199708877847,-9.228234487789036e-05,0.023673448494084266
9,71313,recovery|volatile_chop|capitulation,3,0.004314032227948163,-0.007515126943872349,0.054924434055825276,recovery|volatile_chop|steady_bear,3,0.005486686967616545,-0.0025520234424782256,0.045091039617089344,sideways|accumulation|explosive_bull,3,-4.9965846499106827e-05,0.005658993352633581,0.023410172071766377
10,79232,steady_bear|capitulation|recovery,3,-0.00232067918630262,0.00444342724812941,0.04385276198210627,volatile_chop|capitulation|recovery,3,7.790015742845568e-05,0.004182632680168729,0.058162383885059406,recovery|sideways,2,0.0024245876958622586,0.0001164857812944967,0.030721306097856928
11,87151,recovery|volatile_chop|steady_bear|sideways,4,0.004762881672444765,0.00033353536237017134,0.02975315869952142,accumulation|sideways|steady_bear|capitulation,4,0.0006197807931627984,-0.014771128349937707,0.03223407880837037,sideways|volatile_chop,2,0.00023935384126294275,3.968414134244568e-05,0.03687834821017416
12,95070,volatile_chop|steady_bear|recovery,3,5.342921083786531e-05,0.005198493179493924,0.032831673379411286,sideways|steady_bull,2,0.00047619376591666687,0.003034284611855116,0.020926796949757513,accumulation|sideways|explosive_bull,3,0.00026704929336576316,0.007459023100850309,0.02936167653140351
13,102989,recovery|volatile_chop|capitulation,3,0.0020230494853273706,-0.005224029960040583,0.04484500389763777,accumulation|sideways|explosive_bull,3,0.00020251427389725266,0.009807676556700624,0.026699645412930097,sideways|explosive_bull|volatile_chop|capitulation,4,-0.0003855310001495528,-0.013506995060687135,0.04614502867388695
14,110908,recovery|steady_bull,2,0.0035311042961888883,0.003973825509377731,0.026572445572671556,steady_bear|sideways|steady_bull,3,-0.0019330296933425155,0.0036089217516624295,0.024486890775479647,steady_bull|steady_bear|sideways|steady_bear,4,0.0022583039185064256,-0.002369789578783851,0.023329007669606987
15,118827,sideways|explosive_bull,2,0.00039298345163160057,0.008442971581463787,0.03625194311640975,recovery|volatile_chop|steady_bear,3,0.003906448720366996,-0.0022150532722863756,0.044843136327622796,sideways|accumulation|steady_bull,3,-0.0004963042276845673,0.0024538593742908024,0.013978472150254996
16,126746,recovery|sideways|accumulation,3,0.005002329054410032,0.0007730170005959058,0.025386712727153583,recovery|sideways,2,0.004580058024633209,-7.2374806994985426e-06,0.030188545109276016,steady_bear|accumulation|explosive_bull,3,-0.003965422007375575,0.007892212341935403,0.023136563016971135
17,134665,capitulation|sideways,2,-0.013952688030902166,0.0004997957049795681,0.04817339179632421,death_spiral|sideways|volatile_chop,3,-0.027532725669136143,3.0708217567345275e-05,0.049341976025881105,volatile_chop|sideways|volatile_chop,3,0.0004772464900331052,-0.00038046711399185686,0.04008348492091848
18,142584,recovery|sideways,2,0.004075695788385184,-0.0004931165914549152,0.027510689237490716,death_spiral|sideways,2,-0.01325942219166994,-2.3650952488211356e-05,0.05342628728808804,volatile_chop|capitulation|sideways|accumulation,4,0.00035938945621608585,0.0006074906729384818,0.037100849112731316
19,150503,recovery|volatile_chop|sideways|steady_bear,4,0.0025763826101198677,-0.0019030897176879722,0.03340009645375743,volatile_chop|capitulation,2,0.0002899331117280075,-0.014113398808936308,0.05877953909464978,steady_bear|capitulation,2,-0.0034370439442980164,-0.005307580370720844,0.05537873418191608
20,158422,sideways|explosive_bull,2,0.00030856079796887364,0.006738467839704431,0.029199918780527856,death_spiral|recovery,2,-0.018558894433087628,0.0056537036348723955,0.04846193876979098,volatile_chop|steady_bull|explosive_bull,3,-0.0003340136473537809,0.00906129192134325,0.03804533679117088
21,166341,capitulation|death_spiral|sideways,3,-0.007815866200181798,-0.00016361229733200954,0.055707156325442396,steady_bear|capitulation|volatile_chop,3,-0.0024409232231006467,-4.396933661542904e-05,0.04667975900446495,death_spiral|recovery|steady_bull,3,-0.02102960580746612,0.003741942174973124,0.04723447743922304
22,174260,recovery|steady_bull|volatile_chop,3,0.002857271318752997,-0.00035847004334544394,0.029665857684122537,accumulation|explosive_bull|capitulation,3,0.00027216975962101036,-0.009199794539605385,0.04068418273365401,sideways|steady_bear|accumulation,3,0.0004384924899582408,0.000705785082463433,0.020183821436711973
23,182179,sideways|accumulation,2,0.00014287913415126892,0.0004744558409101081,0.015819954611440527,accumulation|steady_bull|sideways,3,0.00035983246326375584,-0.00031296138165446975,0.01429815116016852,volatile_chop|steady_bull,2,0.00015391344677762432,0.002476612622560272,0.040744070863742245
24,190098,steady_bear|accumulation|sideways,3,-0.002609571120509818,0.0004737929180069145,0.020138073869916964,death_spiral|sideways|accumulation|sideways,4,-0.013697128905910096,-0.00019716320582268467,0.023250644049511784,volatile_chop|steady_bull|explosive_bull|volatile_chop,4,0.000372990041899479,-0.0004509214763812701,0.05148728715804956
